-75.83 77.978 108.769 0.026 0.089 0.093
-56.471 95.646 111.073 0.055 0.139 0.15
-131.23 39.234 136.969 0.146 0.136 0.199
-123.36 28.113 126.523 0.072 0.05 0.088
-24.46 172.139 173.869 0.024 0.174 0.175
-37.915 112.602 118.814 0.024 0.11 0.113
-54.913 83.596 100.019 0.024 0.087 0.091
-69.6 66.061 95.959 0.025 0.077 0.081
-82.389 54.304 98.675 0.026 0.07 0.074
-93.509 45.815 104.129 0.027 0.065 0.07
-110.761 34.917 116.134 0.027 0.058 0.064
-110.761 34.917 116.134 0.027 0.058 0.064
-117.521 31.162 121.583 0.028 0.056 0.063
-123.36 28.113 126.523 0.029 0.055 0.062
-128.407 25.634 130.941 0.03 0.054 0.062
-132.824 23.571 134.899 0.031 0.053 0.061
-136.731 21.781 138.455 0.032 0.052 0.061
-143.276 18.914 144.519 0.035 0.05 0.061
-143.276 18.914 144.519 0.035 0.05 0.061
-146.045 17.746 147.119 0.036 0.05 0.062
-148.551 16.707 149.487 0.038 0.049 0.062
-150.816 15.783 151.639 0.04 0.049 0.063
-152.875 14.959 153.605 0.042 0.049 0.064
-154.766 14.216 155.417 0.044 0.048 0.065
-156.496 13.543 157.081 0.045 0.048 0.066
-158.089 12.927 158.617 0.047 0.048 0.068
-159.562 12.368 160.041 0.05 0.048 0.069
-160.927 11.854 161.363 0.052 0.049 0.071
-162.196 11.383 162.595 0.055 0.049 0.073
-163.377 10.946 163.743 0.057 0.049 0.075
-164.478 10.542 164.815 0.06 0.049 0.077
-166.475 9.815 166.765 0.066 0.049 0.082
-166.475 9.815 166.765 0.066 0.049 0.082
-167.385 9.488 167.654 0.069 0.05 0.085
-168.24 9.182 168.49 0.072 0.05 0.088
-169.046 8.895 169.279 0.076 0.05 0.091
-169.806 8.626 170.025 0.08 0.05 0.094
-170.525 8.375 170.731 0.084 0.051 0.098
-171.207 8.136 171.4 0.087 0.051 0.101
-171.853 7.911 172.035 0.092 0.051 0.105
-172.467 7.697 172.639 0.096 0.052 0.109
-173.051 7.495 173.214 0.101 0.053 0.113
-173.607 7.303 173.761 0.105 0.053 0.118
-174.137 7.121 174.282 0.11 0.054 0.123
-174.643 6.947 174.781 0.115 0.054 0.127
-175.126 6.782 175.257 0.121 0.055 0.133
-175.588 6.624 175.713 0.126 0.056 0.138
-176.03 6.474 176.149 0.132 0.057 0.144
-176.454 6.33 176.568 0.139 0.058 0.15
-176.86 6.193 176.969 0.145 0.059 0.157
-177.25 6.061 177.354 0.152 0.06 0.164
-177.625 5.935 177.724 0.159 0.061 0.171
-177.985 5.814 178.08 0.167 0.062 0.178
-178.331 5.698 178.422 0.174 0.063 0.186
-148.594 30.036 151.6 0.117 0.101 0.154
-134.664 24.192 136.82 0.071 0.063 0.095
109.525 306.593 325.569 0.12 0.31 0.332
24.593 173.876 175.607 0.059 0.164 0.174
-19.945 118.412 120.08 0.045 0.125 0.133
-49.514 87.627 100.649 0.04 0.109 0.116
-72.54 66.782 98.6 0.038 0.097 0.104
-90.559 52.487 104.67 0.037 0.09 0.097
-116.873 34.633 121.897 0.035 0.08 0.087
-116.873 34.633 121.897 0.035 0.08 0.087
-126.605 28.795 129.838 0.035 0.077 0.084
-134.664 24.192 136.82 0.036 0.074 0.082
-141.383 20.673 142.887 0.036 0.073 0.081
-146.996 17.946 148.087 0.037 0.071 0.08
-151.87 15.554 152.665 0.038 0.069 0.079
-159.714 11.914 160.158 0.04 0.067 0.078
-159.714 11.914 160.158 0.04 0.067 0.078
