-31.858 72.351 79.055 0.007 0.038 0.039
-14.222 83.919 85.116 0.017 0.06 0.062
-93.665 40.91 102.21 0.099 0.096 0.138
-86.565 24.152 89.871 0.05 0.017 0.053
-9.79 92.994 93.508 0.007 0.061 0.061
-24.314 61.11 65.769 0.007 0.041 0.042
-41.481 45.33 61.445 0.007 0.034 0.034
-57.631 36.046 67.976 0.007 0.029 0.03
-71.777 29.681 77.672 0.008 0.026 0.027
-83.855 25.083 87.526 0.008 0.024 0.026
-96.437 20.964 98.689 0.009 0.023 0.024
-102.84 19.067 104.593 0.009 0.022 0.024
-110.32 16.992 111.621 0.01 0.021 0.023
-116.76 15.329 117.761 0.011 0.02 0.023
-122.368 13.952 123.161 0.012 0.019 0.023
-127.245 12.805 127.887 0.013 0.019 0.023
-131.543 11.831 132.074 0.014 0.018 0.023
-136.239 10.801 136.666 0.015 0.018 0.024
-138.747 10.267 139.126 0.016 0.018 0.024
-141.794 9.629 142.121 0.018 0.018 0.025
-144.541 9.066 144.825 0.019 0.017 0.026
-147.029 8.566 147.278 0.021 0.017 0.027
-149.289 8.117 149.51 0.023 0.017 0.029
-151.356 7.716 151.552 0.025 0.017 0.03
-153.248 7.35 153.424 0.027 0.017 0.032
-154.991 7.018 155.15 0.029 0.017 0.033
-156.601 6.714 156.745 0.031 0.017 0.035
-158.09 6.436 158.221 0.033 0.017 0.038
-159.472 6.178 159.591 0.036 0.017 0.04
-160.758 5.94 160.867 0.039 0.017 0.042
-161.958 5.721 162.059 0.041 0.017 0.045
-163.347 5.468 163.439 0.045 0.017 0.048
-164.129 5.326 164.216 0.047 0.017 0.05
-165.116 5.15 165.197 0.05 0.018 0.053
-166.044 4.983 166.119 0.054 0.018 0.057
-166.92 4.828 166.989 0.057 0.018 0.06
-167.746 4.681 167.811 0.061 0.018 0.064
-168.527 4.544 168.588 0.065 0.018 0.067
-169.266 4.414 169.324 0.069 0.018 0.071
-169.967 4.291 170.021 0.073 0.019 0.075
-170.633 4.176 170.684 0.077 0.019 0.08
-171.266 4.066 171.314 0.082 0.019 0.084
-171.868 3.961 171.914 0.087 0.019 0.089
-172.443 3.862 172.486 0.092 0.02 0.094
-172.99 3.768 173.031 0.097 0.02 0.099
-173.514 3.678 173.553 0.102 0.02 0.104
-174.014 3.593 174.051 0.108 0.021 0.11
-174.492 3.511 174.528 0.114 0.021 0.116
-174.951 3.433 174.984 0.12 0.022 0.122
-175.39 3.359 175.422 0.126 0.022 0.128
-175.812 3.287 175.843 0.133 0.023 0.135
-176.217 3.219 176.247 0.14 0.023 0.142
-176.607 3.153 176.635 0.148 0.024 0.15
-176.981 3.09 177.008 0.155 0.024 0.157
-107.467 38.766 114.246 0.076 0.062 0.098
-94.8 25.59 98.193 0.045 0.021 0.05
27.576 133.096 135.923 0.017 0.082 0.084
-7.867 82.089 82.465 0.011 0.054 0.055
-34.084 58.455 67.666 0.01 0.044 0.045
-56.217 44.007 71.393 0.009 0.038 0.039
-75.256 34.186 82.656 0.009 0.034 0.035
-91.236 27.027 95.155 0.01 0.031 0.033
